iHLD LoP ID,Nama Proyek,Port Plan,Port Real,Total BOQ,Capex per Port,Area TSEL,Regional TSEL,Branch TSEL,PT,Mitra,Prioritas per Branch,Cek WO,Flag,cek go live 1 sept,cek drop PT2,flag,Bracnh Fokus,Prioritas 20 Branch,Cek 115K,Status Kontruksi,Status Material,Plan K12,Plan K24,Plan ETA,Plan GL,Grouping Kendala,Keterangan,,Status GD TA,Status GL,Plan GL xl,Keterangan,PORT AANWIJZING,NILAI WO+IZIN/QE+REDESAIN,CPP
13195324,"BOO,PCM,FEEDERISASI PCM 10 LOP MD,2026",440,  -   ,829336424,1.884.855.509,AREA 2,EASTERN JABOTABEK,BEKASI,PT3,Telkom Akses,4,25. PT3/Batch 8 thp 2,Prio September,NY Go Live,0,Y,y,20 Branch,#N/A,01. Persiapan,Ready,,,,21/09/2026,,"14/09/26 : Proses perijinan
09/09/26 : Survey Jalur untuk desaign baru
07/09/26 : Survey ulang oleh mitra
- Planning rubah designator dari kt ke ku setelah survey terdapat banyak HH eksisting
07/09/26 : Ploting Mitra
04/09/26 : Ploting Mitra
31/08/26 : Planning koordinasi kembali dengan PM untuk mitra Eksisting
24/08/26 : Hasil planning survey di hari kamis sudah ada hasil
21/08/2026 : rilis NDE proses survei dan ploting mitra",,03. OGP Instalasi,00. Ny Golive,21/09/2026,,,,
13229308,"BKS,PKY,TRE RESIDENCE,2026B",48,  48 ,28589002,5.956.042.083,AREA 2,EASTERN JABOTABEK,BEKASI,PT3,Telkom Akses,3,25. PT3/Batch 8 thp 2,Prio September,NY Go Live,0,Y,y,20 Branch,#N/A,05. Go Live,Ready,,,,,,"13/09/26 : Golive
11/09/26 : Planning Jumper hari ini
09/09/26 : Done penyerahan prelim
07/09/26 : Penyerahan Prelim dan pickup material
- Planning instalasi besok
07/09/26 : Proses pencairan prelim di mitra dan Pickup material
02/09/26 : Bakp dan survai done ✅
- Nilai perijinan 1,5, dan pemasangan  8 cctv cover dari TA, wifi gratis  dari TseL
01/09/26 : BAKP Done
31/08/26 : Pihak lingkungan meminta pemasangan cctv untuk 9 titik
27/08/26 : Pihak develop belum bisa di temui
26/08/26 : Survey dan perijinan
26/08/26 : BKS,KLB,CLUSTER SELASAR MADINA,2026B7
26/08/26 : Survey dan perijinan
24/08/26 : ""24/08/2026 : Hari ini planing untuk penujukan mitra, dimaksimalkan hari kamis sudah ada hasil dari survey 
""
21/08/2026 : rilis NDE proses survei dan ploting mitra",,04. Finish Instalasi,01. Golive,18/09/2026,,,,
13287165,"BKS,KLB,CLUSTER SELASAR MADINA,2026B7",48,  48 ,27128108,5.651.689.167,AREA 2,EASTERN JABOTABEK,BEKASI,PT3,Telkom Akses,2,25. PT3/Batch 8 thp 2,Prio September,NY Go Live,0,Y,y,20 Branch,#N/A,05. Go Live,Ready,,,,,,"12/09/26 : Golive
11/09/26 : Planning jumper ODP dan proses kompulir valid 4
09/09/26 : Penarikan dan pemasangan tiang
07/09/26 : Penyerahan Prelim dan pickup material
- Planning instalasi besok
07/09/26 : Menunggu approve DID
31/08/26 : Jalur untuk ke arah ODC masih terdampak utilitas , karna untuk utilitasnya masih terkendala di berhentikan oleh pihak walikota
27/08/26 : Jalur untuk ke arah ODC masih terdampak utilitas , karna untuk utilitasnya masih terkendala di berhentikan oleh pihak walikota
24/08/26 : ""24/08/2026 : Hari ini planing untuk penujukan mitra, dimaksimalkan hari kamis sudah ada hasil dari survey 
""
21/08/2026 : rilis NDE proses survei dan ploting mitra",,04. Finish Instalasi,01. Golive,18/09/2026,,,,
13146741,"KWA,CKP,BATIK KARAWANG,2026B6",104,  -   ,130626880,1.256.027.692,AREA 2,EASTERN JABOTABEK,KARAWANG,PT3,Telkom Akses,1,25. PT3/Batch 8 thp 2,Prio September,NY Go Live,0,Y,y,20 Branch,#N/A,01. Persiapan,Ready,,,,21/09/2026,,"14/09/26 : Proses pencairan PP di mitra, target lusa sudah cair
07/09/26 : Done perijinan
- Proses pencairan prelim oleh mitra
- Tarikan 3300 M, Tiang 45 , ODP 14
07/09/26 : Followup ulang perijinan
04/09/26 : Followup ulang perijinan
01/09/26 : Planning bertemu untuk nesgosiasi perijinan
31/08/26 : Pihak lingkungan meminta pemasangan cctv untuk 9 titik
31/08/26 : Followup ulang perijinan
27/08/26 : Perijinan ulang kembali
26/08/26 : Perijinan ulang kembali
24/08/26 : 24/08/2026 : Planing survey , dimakasimalkan kamis sudah ada untuk hasil surveynya
21/08/2026 : rilis NDE proses survei dan ploting mitra",,01. Persiapan,01. Golive,21/09/2026,,,,
13312543,"BKS,BEK,Gr Surya Estate,2026",232,  -   ,435275589,1876188,AREA 2,EASTERN JABOTABEK,BEKASI,PT3,Telkom Akses,1,24. PT3/Batch 8 thp 1,Prio September,NY Go Live,0,Y,y,20 Branch,#N/A,04. Finish Instalasi,Ready,,,,18/09/2026,,"9/9/2026 : GOlive parsial 9 ODP 
16/09/26 : Pekerjaan HH belum selesai, ODP sudah terpasang semua.. done pararel golive 9 ODP
14/09/26 : ODP sudah terpasang 18
07/09/26 : Bon material kabel untuk penarikan  1.4 KM dan ODP
- HH akses sudah terinstal 100 dari 211
07/09/26 : pemasangan hh akses sudah 86 Batang dari 211
04/09/26 : pemasangan hh akses sudah 86 Batang dari 211
04/09/26 : pemasangan hh akses sudah 86 Batang dari 211
04/09/26 : pemasangan hh akses sudah 86 Batang dari 211
04/09/26 : pemasangan hh akses sudah 86 Batang dari 211
02/09/26 : Jalur distribusi done ✅
- Instalasi HH  74 dari 211
02/09/26 : Jalur distribusi done ✅
- Instalasi HH  74 dari 211
01/09/26 : Pemasangan jalur distribusi dan HH
31/08/26 : Pemasangan HH sudah 42 
- Jalur HDPE 980 M dari 1400 M
29/08/26 : Proses Instalasi jalur distribusi dan pembuantan HH akases
27/08/26 : Pembangunan jalur distribusi dan pembangunan HH sudah 28 dari 211 HH
26/08/26 : Pemasangan jalur distribusi dan HH akses
24/08/26 : 24/08/2026 : Progres untuk jalur akses  ada penambahan 400 M
21/08/26 : HDPE sudah terpasangan 750  M, dan hh sudah terpasang 16 Pcs
20/08/26 : Instalasi galian sudah 300 M dari 1400
12/08/26 : Proses pengambilan dan pengiriman material
10/08/26 : Creat PID, Planing instalasi 13 agustus plan FI 30 agustus plan GL31 agustus  ( Tarikan KU 600 M, Galian 1.400 M )
07/08/2026 : rilis NDE proses survei dan ploting mitra",,04. Finish Instalasi,00. Ny Golive,18/09/2026,,,,
12989449,"BOO,PCM,APC-SINAR MUTIARA RESD,2026B5",40,  -   ,25611454,"640286,35",AREA 2,EASTERN JABOTABEK,BEKASI,PT3,Telkom Akses,6,8. PT3/Batch 4b thp 2,Prio September,NY Go Live,0,Y,y,20 Branch,#N/A,0. Drop DBP,,,,,,,"04/06/2026 : Usulan untuk Desain Feeder sudah di buatkan untuk kendala Feeder
03/05/2026 : FEEDER PENUH
29/05/2026 : Proses survey ulang, untuk titk putus dan perijinannya
28/05/2026 : Redesign kendala Core Catuan Feeder Usulan Habis sehingga harus pindah Catuan Feeder
25/05/2026 : Hari ini proses survey untuk pengukuran titik sambung
2105/2026 : Perlu survey ulang karna terkendala feeder full
18/05/2026 : Perlu survey ulang karna terkendala feeder full
12/05/2026 : Proses creat pid dan imon
Batch baru Lanjur survei 
11/05/2026 : Proses creat pid dan imon
Batch baru Lanjur survei ",,00. DROP,00. Ny Golive,DROP,,,,
12417267,"BOO,SPL,APC-BALI RESORT EXTENTN,MD1TSEL",72,  72 ,160983607,2.235.883.431,AREA 2,EASTERN JABOTABEK,BOGOR,PT3,Telkom Akses,2,3. PT3/Batch 2,Prio September,NY Go Live,0,Y,y,20 Branch,#N/A,05. Go Live,Ready,,,,,,"01/09/26 : GOLIVE ALL ODP
01/09/26 : Proses kompulir valid 4
31/08/26 : proses penyambungan untuk odp dan closure untuk cluster uluwatu
- Untuk Clusture tabanan propos di next WO
27/08/26 : Galian sudah berjalan 200 M untuk HH akses
26/08/26 : Instalasi HH akses
24/08/26 : 24/08/2026 : Proses instalasi arah dalam untuk Klaim galian 2 KM
24/08/26 : 24/08/2026 : Proses instalasi arah dalam untuk Klaim galian 2 KM
21/08/26 : Penarikan KU 700 M dari 2.3 Km
20/08/26 : Planning hari ini untuk penarikan KU 2.3 Km
18/08/26 : pengambilan material
03/08/2026 : Proses BAKP progres ke paguyuban, proses pembayaran 
 Untuk kelengkapan Perinciaan Ba kurang Approval dari Tsel, Pararel proses pickup delivery
09/06/20226 : PERSIAPAN MATERIAL
06/08/26 : persiapan proses pencairan prelim  Senin Planning pickup material plan FI 15 agustus dan GL 16 agustus
03/08/2026 : Proses BAKP progres ke paguyuban, proses pembayaran 
 Untuk kelengkapan Perinciaan Ba kurang Approval dari Tsel, Pararel proses pickup delivery
09/06/20226 : PERSIAPAN MATERIAL
12/08/26 : Visit dengan Mitra , mennnggu prelim di bayarkan minggu ini
10/08/26 : Visit dengan Mitra , target prelim di bayarkan minggu ini  Rute galian 2000 M , KU 200 M, 9 ODP pedestal 5 ODP solid plan GL 31 agustus plan FI 30 agustus
06/08/26 : persiapan proses pencairan prelim  Senin Planning pickup material plan FI 15 agustus dan GL 16 agustus
03/08/2026 : Proses BAKP progres ke paguyuban, proses pembayaran 
 Untuk kelengkapan Perinciaan Ba kurang Approval dari Tsel, Pararel proses pickup delivery
30/07/2026 : Draft BA rinciang untuk did sudah selesai, proses permintaan tanda tangan ke RT dan RW sambil proses penyelesain BAKP
27/07/2026 : NPD meminta rincian dari nominal nilai peijinan 35 Juta , tapai belum dikirim perinciannya.. 
24/07/2026 : Sudah Review DID, persipan pembayaran prelim 
23/07/2026 :Menunggu Review DID untuk confrim penambahan prelim 35 Juta dan ada redesain
20/07/2026 : Menunggu review dengan did untuk approval penambahan prelim
17/07/2026 : REVIEW DID
16/07/2026 : sudah proses perijinan dengan pihak paguyuban , poin point yang diajukan paguyuban sudah disiapkan , menuggu feedback di hari rabu 22 Juli 2026 
13/07/2026 : adanya penjadwal ulang untuk pertemuan dengan lingkungan hari ini jam 7 malam
10/07/2026 : akan kunjungan tsel jam 7 malam terkait perizinan dengan deploper
09/07/2026 : Hari ini proses negosiasi ulang dengan Tsel dan paguyuban
08/07/2026 :   Akan di bahas kembali dengan tsel tgl 09
06/07/2026 :   Masih menunggu update dari Tsel untuk perijinan terkait pemenuhan keinginan dari lingkungan , untuk wifi gratis 3 tahun
02/07/2026 : Masih menunggu update dari Tsel untuk perijinan terkait pemenuhan keinginan dari lingkungan
30/06/2026 : MENUNGGU INFO PKS DARI TSEL
29/06/2026 : Masih menunggu update dari Tsel untuk perijinan terkait pemenuhan keinginan dari lingkungan
26/06/2026 : MENUNGGU INFO TSEL TERKAIT PERIZINAN
25/06/2026 : Masih di Followup oleh cam terkait keinginan dari lingkungan
25/06/2026 : Masih di Followup oleh cam terkait keinginan dari lingkungan
24/06/2026 : MENUNGGU INFO TSEL TERKAIT PERIZINAN
23/06/2026 :  FU TSEL UNTUK PENGAJUAN PERMINTAAN LINGKUNGAN
22/06/2026 : Belum ada Followup dari tsel teerkait permintaan dari paguyuban
19/06/2026 : Permintaan khsus dari lingkungan , perlu FU daru cam. dan akan dijadwalakn untuk konsolidasi Perlu
18/06/2026 : Permintaan khsus dari lingkungan , perlu FU daru cam. dan akan dijadwalakn untuk konsolidasi Perlu
Pembaharuan PKS
17/06/2026 : PERLU FU TSEL & CAM UNTUK PERMINTAAN LINGKUNGAN
16/06/2026 :  Miscom antar paguyuban dan develop, develop tidak menyampaikan informasi ke paguyuban..dan ada permintaan khusus suport Tenda untuk acara khusus di lingkungan
11/06/2026 :  Negosiasi dengan cam terkait Free wifi sudah deal tapi berubah menjadi nominal uang free wifi untuk 1 tahun kisaran nominal ( 5 sampai 7 Juta )
08/06/2026 : Proses pengajuan perijinan kerja ke develop dan , remaind kembali terkait free wifi ke camnya
04/06/2026 : Develop ingin ada pengajuan untuk Free wifi , dan masih proses diskusi dengan camnya
03/06/2026 : VALIDASI CORE EXISTING UNTUK PLAN CLUSTER TABANAN,DAN ADA PERMINTAAN FREE WIFI DARI DEPLOPER,DI FU CAM & TSEL BOGOR)
02/06/2026 : VALIDASI CORE EXISTING UNTUK PLAN CLUSTER TABANAN,DAN ADA PERMINTAAN FREE WIFI DARI DEPLOPER,DI FU CAM & TSEL BOGOR)
9/05/2026 :  Menunggu BA dari develop terkait agar pekerjaan bisa segera di lakukan di lapangan, disolusikan  untuk pembuatan draft BA di buatkan oleh TA dan dilanjutkan untuk APprovenya oleh Developer
25/05/2026 : Develop setuju untuk tidak membangun ODC, tapi masih menunggu keputusan dari Develop. ada diskui ulang terkait cluster tabanan tidak boleh melewati jalur bulevard
20/05/2026 : Janji temu dengan Develop terkait penambahn ODC
18/05/2026 : Permintaan develop yang baru untuk negosiasi dengan develop yg baru dengan cam, dan ada permintaan penambahan odc agar tarikan tidak dari luar
11/05/2026 : Pengajuan untuk prangkat telkom agar dipindah ke dalam cluster tersebut ( pembuatan ODC baru )
09/05/2026 : PROSES PENGHITUNGAN HHAKSES DENGAN TIF AREA (PAK ASETI) KARENA REQUEST HH DARI DEVELOPER
07/05/2026 : Perlu review ulang dengan Tif Ed ( pak asesti ) terkait Designator HH 20
06/05/2026 : PROSES PENGHITUNGAN HHAKSES DENGAN TIF AREA (PAK ASETI) KARENA REQUEST HH DARI DEVELOPER
04/05/2026 : Kendala untuk diskusi harga  HH sesuai dengan permintaa devloper
30/04/2026 : PErizinan ulang , ada permintaan tambahan dari lingkungan
27/04/2026 : Masih proses pengajuan nilai prelim 
24/04/2026 : Proses pengajuan pembayaran prelim ke pihak develop dan RT/Rw
07/04/2026 : PROSES TTD BA REDESIGN (POSISI DID)
12/03/2026 : APPROVAL ED,REDESAIN JALUT SPBT
03/03/2026 : REDESAIN,CATUAN FBD SPL,ROLLBACK,KENAIKAN NILAI BOQ
24/02/2026 : PENGUSUTAN FEEDER,REROUTE CATUAN ODC LAIN,PLAN FDB SPL
19/02/2026 : MASIH MENCARI ALTERNATIF FEEDER DAN PLAN TERLEBIH DAHULU
18/02/2026 : TERKENDALA CORE IDLE/FEEDER FULL
13/02/2026 : MENUNGGU DESIGN DARI ODCSPLFAF (DAN PENAMBAHAN JUMLAH ODP)
11/02/2026 : SURVEY TEKNIS,CORE FEEDER PENUH,NEED PELURUSAN,KORDINASI DENGAN HSA
04/;02/2025 : PROSSES ROLLBACK
28/01/2026 : REDESAIN,CEK CORE & CATUAN IDLE
08/01/2026 : PERLU PERSIAPAN MITRA & TERKAIT DESAIN DAN JASA MATERIAL HHA & ODP",,04. Finish Instalasi,01. Golive,18/09/2026,,,,
12205450,"BOO,CSE,TLGA KHRIPAN CL CNDRALKA,MD1TSEL",168,  168 ,116481582,"693342,75",AREA 2,EASTERN JABOTABEK,BOGOR,PT3,Telkom Akses,1,3. PT3/Batch 2,Prio September,NY Go Live,0,Y,y,20 Branch,#N/A,05. Go Live,Ready,-,-,,,,"24/08/2026 : Desaign Fix pakai yg baru , proses perijinan untuk penambahan tiang  untuk tanam 4 tiang
20/08/26 : Pelurursan core idle untuk distribusi
12/08/26 : Kendala belum tembus core Feeder sampai ke ODC FF karna tidak layak akibat gamas, (planning di usulkan untuk tambah tarikan baru KU 700 M sebagai feeder dengan bantuan CL dari FE ke FF)
6/08/26 : Progress Penarikan Kabel (Kenaikan Nilai Boq =10%)",,04. Finish Instalasi,01. Golive,Done,,,,
12736991,"SKB,SKB,FTTH,MD_CIJUREY,160HP",160,  -   ,157683860,985.524.125,AREA 2,EASTERN JABOTABEK,BOGOR,PT3,Telkom Akses,5,4. PT3/Batch 3,Prio Agustus,NY Go Live,0,Y,y,20 Branch,PT3,0. Drop DBP,,,,,,,28/01/2026 = drop info dari tsel itu dari AI,,00. DROP,00. Ny Golive,DROP,,,,
11667596,"BKS,STN,Griya Artha Sukamanah,MD1TSEL",160,  -   ,162808168,"1017551,05",AREA 2,EASTERN JABOTABEK,KARAWANG,PT3,Telkom Akses,6,3. PT3/Batch 2,Prio Agustus,NY Go Live,0,Y,y,20 Branch,PT3,0. Drop DBP,,,,,,,"21/05/2026 : Tsel confrim drop terkait kendala perijinan warga
12/05/2026 : Tidak dapat izin dari lingkungan
11/05/2026 : Pararel masih melakukan negosiasi terkait perijinan penanaman tiang dengan warga
07/05/2025 : Salah satu RT ( RT01) , tidak menyetujui untuk adanya penanaman tiang. dan estimasi persetujuan di hari senin
04/05/2026 : sirkulir Ba perijinan untuk penanaman tiang dengan warga untuk tarikan pekerjaan 3 KM
30/04/2026 : Masih menunggu proses pergatian pengurus jadi terkendala untuk pembayaran prelim, serta ada kendala terkait penanaman tiang oleh warga. maksimal kepastian pekerjaan bisa dilanjut atau tidak Tgl 15 Mai 2026
29/04/2026 : sekertaris rw mengundurkan diri, jadi izin ulang
27/04/2026 : Masis proses pembayaran prelim, kendala dikarekan pergantian pengurusan di area lingkungan tersebut menghambat proses pembayaran prelim
24/04/2026 : memastikan Perizinan di paguyupan , dan untuk pengajuan DRM ulang terkait redesain baru bisa di ajukan setelah memastikan perizinan di paguyuban selesai
23/04/2026 : Penambahan Prelim 18 Juta, dari paguyupan ada permintaan penambahan yg sebelumnya 17 Juta. Pencairan CC sudah di proses dan sudah di followup ke finance Ta bellum ada jawaban. dan ada kendala di lingkungan terkait perizinan ulang di lingkungan karna sekdes sebagai penghubung resain
07/04/2026 - pengurus rw  masih di kampung, minta hari selasa tgl 14 untuk konfirmasi ulang ke pengurus rw
01/04/2026 - pengurus rw  masih di kampung, minta hari selasa tgl 7 untuk konfirmasi ulang ke pengurus rw 31/03/2026 -  Progress Di Stop Lingkungan, Paguyuban meminta kompensasi tambahan 18Juta Rupiah, dan Lingkungan mengizinkan kita untuk membangun seluruh area cluster, (Redesign dengan jumlah ODP 27, dan Design ODC Less) , proses cek feeder done, Proses DRM Ulang ok. 
RW meminta pembangunan setelah lebaran, (Proses pencairan prelim oleh mitra). 
10/03/2026 - Konfirm utk pelaksaan instalasi, info RW meminta pekerjaan di lanjut setelah lebaran karena untuk menjaga kondusifitas keamanan di lingkungan.
09/03/2026 - Info PED Mba Vidya pada saat huddle silahkan di lanjut utk ordernya.
07/03/2026 - Proses DRM Ulang sedang di review oleh PED
05/03/2026 - Proses DRM Ulang sedang di review oleh PED
03/03/2026 - Redesign kembali ke ODC-STN-FG. Proses drm ulang
01/03/2026 - Lanjut proses pencekan core iddle di closure existing, closure tidak ketemu
29/02/2026 - Proses pengecekan core di closure existing
27/02/2026 - Design ulang penambahan odp baru dan pararel drm ulang 
25/02/2026 - Masih menunggu titik kordinat odp plan tambahan dari dari mas bagus 24/02/2026 - Team mas bagus ke lokasi untuk menentukan titik kordinat plan odp penambahan untuk redesign  20/02/2026 - Permintaan kompensasi tambahan 18jt Rupiah, perlu redesign ulang untuk tambahan tiang dan odp serta drm ulang.
16/02/2026 - Proses nego kompensasi tambahan ( permintaan awal 30jt )
14/02/2026 - Proses nego kompensasi tambahan ( permintaan awal 30jt ).
12/02/2026 - Kendala pekerjaan di stop warga, karena meminta tambahan kompensasi (proses nego dan fu kembali).
10/02/2026  - Kendala pekerjaan di stop warga, karena meminta tambahan kompensasi (proses nego dan fu kembali).
08/02/2026 - Kendala pekerjaan di stop warga, karena meminta tambahan kompensasi (proses nego dan fu kembali).
06/02/2026 - Kendala pekerjaan di stop warga, karena meminta tambahan kompensasi (proses nego dan fu kembali).
04/02/2026 - Kendala pekerjaan di stop warga, karena meminta tambahan kompensasi (proses nego dan fu kembali).
03/02/2026 - Proses pelubangan Tiang 
27/01/2026 - hari ini penyerahan prelim ke rw dan pararel list material 
20/01/2026  - pak rw masih belum respon 
13/01/2026 - masih koordinasi ke pak rw untuk perijinan  untuk pembangunan 
05/01/2026 - proses instalasi menunggu info dari lingkungan
28/10/2026 - pekerjaan di stop oleh paguyuban tunggu sampai pulang ketua paguyuban dari luar kota 24/10/2025 pelubangan tiang  dan pekerjaan di stop oleh paguyuban tunggu persetujuan dari mereka
21/10/2025 pengambilan material ke wh cibitung  
17/10/2025 penyerahan prelim 20/10/2025 
10/10/2025 penyerahan prelim di usahakan sebelum tgl 16  sudah diserahkan  
07/10/2025 - Penyerahan prelim berbarengan dengan progress, estimasi Tanggal 16 Oktober 2025
30/09/2025 - tunggu update penyerahan sitac tgl 06/10/2025 
29/09/2025 - approve IHLD, SUBMIT EPROPOSAL
04/09/2025 - Pending Order - Need re-polygon (INFO MBA ARDANESIA)
01/09/2025 - redisign belum diapproval PED
29/08/2025 - ihld Pending Order - Need re-polygon (PED)
19/08/2025 - cek IHLD status masih di approval PED
24/07/2025 - Permintaan kompensasi dari Lingkungan untuk lingkungan Total Rp 17juta",,00. DROP,00. Ny Golive,DROP,,,,
